bioguide_id,crp_id,cand_name,cycle,sector_name,indivs,pacs,totals
C000380,N00000133,Donna Christian-Christensen (D),2012,Agribusiness,500,0,500
C000380,N00000133,Donna Christian-Christensen (D),2012,Communic/Electronics,5650,40500,46150
C000380,N00000133,Donna Christian-Christensen (D),2012,Construction,4500,0,4500
C000380,N00000133,Donna Christian-Christensen (D),2012,Defense,0,2000,2000
C000380,N00000133,Donna Christian-Christensen (D),2012,Energy/Nat Resource,350,8500,8850
C000380,N00000133,Donna Christian-Christensen (D),2012,Finance/Insur/RealEst,30200,3000,33200
C000380,N00000133,Donna Christian-Christensen (D),2012,Health,7250,71615,78865
C000380,N00000133,Donna Christian-Christensen (D),2012,Lawyers & Lobbyists,15050,8500,23550
C000380,N00000133,Donna Christian-Christensen (D),2012,Misc Business,11300,8500,19800
C000380,N00000133,Donna Christian-Christensen (D),2012,Labor,0,20500,20500
C000380,N00000133,Donna Christian-Christensen (D),2012,Ideology/Single-Issue,900,28500,29400
C000380,N00000133,Donna Christian-Christensen (D),2012,Other,11100,0,11100
C001037,N00000267,Michael E Capuano (D),2012,Agribusiness,1750,11000,12750
C001037,N00000267,Michael E Capuano (D),2012,Communic/Electronics,10800,8000,18800
C001037,N00000267,Michael E Capuano (D),2012,Construction,24450,24500,48950
C001037,N00000267,Michael E Capuano (D),2012,Defense,500,11000,11500
C001037,N00000267,Michael E Capuano (D),2012,Energy/Nat Resource,29250,8000,37250
C001037,N00000267,Michael E Capuano (D),2012,Finance/Insur/RealEst,63750,136500,200250
C001037,N00000267,Michael E Capuano (D),2012,Health,26250,57250,83500
C001037,N00000267,Michael E Capuano (D),2012,Lawyers & Lobbyists,70800,17250,88050
C001037,N00000267,Michael E Capuano (D),2012,Transportation,750,26000,26750
C001037,N00000267,Michael E Capuano (D),2012,Misc Business,19800,12554,32354
C001037,N00000267,Michael E Capuano (D),2012,Labor,250,156750,157000
C001037,N00000267,Michael E Capuano (D),2012,Ideology/Single-Issue,2000,7000,9000
C001037,N00000267,Michael E Capuano (D),2012,Other,36375,0,36375
C001035,N00000491,Susan Collins (R),2012,Agribusiness,86538,130400,216938
C001035,N00000491,Susan Collins (R),2012,Communic/Electronics,211350,238832,450182
C001035,N00000491,Susan Collins (R),2012,Construction,139496,133000,272496
C001035,N00000491,Susan Collins (R),2012,Defense,103701,219300,323001
C001035,N00000491,Susan Collins (R),2012,Energy/Nat Resource,96750,120750,217500
C001035,N00000491,Susan Collins (R),2012,Finance/Insur/RealEst,997629,446534,1444163
