bioguide_id,crp_id,name,data_year,asset_name,holdings_low,holdings_high,industry,subsidiary_of
M000087,N00000078,"Maloney, Carolyn B",2016,Residential Rental Property & Residence/East 92,5000001,25000000,Real Estate,
M000087,N00000078,"Maloney, Carolyn B",2016,Birdneck Country Club Apartments,1000001,5000000,Real Estate,
M000087,N00000078,"Maloney, Carolyn B",2016,"Residential Rentals/206 D Street SE, Washington",1000001,5000000,Real Estate,
M000087,N00000078,"Maloney, Carolyn B",2016,ATHENA II LLC,1000001,5000000,Misc Business,
M000087,N00000078,"Maloney, Carolyn B",2016,Columns LLC,500001,1000000,,
M000312,N00000179,"McGovern, James P",2016,"Basement Rental Unit/Washington, DC",1000001,5000000,Real Estate,
M000312,N00000179,"McGovern, James P",2016,FA Freedom 2025 Fund,100001,250000,,
M000312,N00000179,"McGovern, James P",2016,American Funds 529 Plan Preservation Portfolio,15001,50000,,
M000312,N00000179,"McGovern, James P",2016,Congressional Federal Credit Union Money Market,15001,50000,,
M000312,N00000179,"McGovern, James P",2016,CBS Corp,1001,15000,TV/Movies/Music,National Amusements Inc
C001037,N00000267,"Capuano, Michael E",2016,High Street Realty Trust,500001,1000000,,
C001037,N00000267,"Capuano, Michael E",2016,"Central Street/Somerville, MA",500001,1000000,,
C001037,N00000267,"Capuano, Michael E",2016,CT&M LLC,250001,500000,,
C001037,N00000267,"Capuano, Michael E",2016,Savings Bank Life Insurance,250001,500000,,
C001037,N00000267,"Capuano, Michael E",2016,Schwab S&P 500 Fund,50001,100000,,
M000133,N00000270,"Markey, Ed",2016,Rydex NASDAQ 100 Inv Class,300002,600000,,
M000133,N00000270,"Markey, Ed",2016,TIAA CREF Retirement Annuity,250001,500000,,
M000133,N00000270,"Markey, Ed",2016,Victory RD Small Cap Growth,100001,250000,,
M000133,N00000270,"Markey, Ed",2016,TIAA CREF Traiditonal Retirement Annuity,100001,250000,,
M000133,N00000270,"Markey, Ed",2016,Fidelity Government Money Market Fund,100001,250000,,
C001035,N00000491,"Collins, Susan M",2016,TDBank Savings,500001,1000000,,
C001035,N00000491,"Collins, Susan M",2016,TDBank Checking,100001,250000,,
C001035,N00000491,"Collins, Susan M",2016,Fidelity Asset Manager 50 Fund,100001,250000,,
C001035,N00000491,"Collins, Susan M",2016,Schwab Gov Securities Fund,51002,115000,,
C001035,N00000491,"Collins, Susan M",2016,Fed Farm Credit Bank Bond,30002,102000,,
L000557,N00000575,"Larson, John B",2016,Adobe Systems,1001,15000,Electronics Mfg & Equip,
L000557,N00000575,"Larson, John B",2016,Bank of America - IRA Fixed Term,1001,15000,,
L000557,N00000575,"Larson, John B",2016,Bank of America/Checking,1001,15000,,
L000557,N00000575,"Larson, John B",2016,General Electric,1001,15000,Misc Manufacturing & Distributing,
L000557,N00000575,"Larson, John B",2016,JPMorgan Chase & Co,1001,15000,Commercial Banks,
D000216,N00000615,"DeLauro, Rosa L",2016,Greenberg Quinlan Rosner Inc,5000001,25000000,Business Services,
D000216,N00000615,"DeLauro, Rosa L",2016,Greenberg Research Inc,500001,1000000,Unknown,
D000216,N00000615,"DeLauro, Rosa L",2016,Mass Mutual Whole Life Policy,100001,250000,,
D000216,N00000615,"DeLauro, Rosa L",2016,TIAA CREF Retirement:TIAA Tradtional (EIF),50001,100000,,
D000216,N00000615,"DeLauro, Rosa L",2016,United Bank/Checking,15002,51000,,
F000372,N00000684,"Frelinghuysen, Rodney",2016,Procter & Gamble,5100002,25250000,Misc Manufacturing & Distributing,
F000372,N00000684,"Frelinghuysen, Rodney",2016,Dreyfus Institutional TR Prime Cash,2000002,10000000,,
F000372,N00000684,"Frelinghuysen, Rodney",2016,IBM Corp,1000001,5000000,Electronics Mfg & Equip,
F000372,N00000684,"Frelinghuysen, Rodney",2016,Procter & Gamble,1000001,5000000,Misc Manufacturing & Distributing,
F000372,N00000684,"Frelinghuysen, Rodney",2016,Dreyfus Government Cash Management,850003,1750000,,
M000639,N00000699,"Menendez, Robert",2016,Residential/Rental Property Union City,250001,500000,Real Estate,
M000639,N00000699,"Menendez, Robert",2016,Senate Federal Credit Union,50001,100000,,
M000639,N00000699,"Menendez, Robert",2016,M&T Bank Checking,15001,50000,,
M000639,N00000699,"Menendez, Robert",2016,Congressional Federal Credit Union,1001,15000,,
M000639,N00000699,"Menendez, Robert",2016,Metropolitan Life Insurance,1001,15000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds Disc Stock Funds,100001,250000,,
G000548,N00000743,"Garrett, Scott",2016,Ally Bank - Savings,50001,100000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds S&P Funds,50001,100000,,
G000548,N00000743,"Garrett, Scott",2016,Dreyfuss Funds Appreciation Funds,15001,50000,,
G000548,N00000743,"Garrett, Scott",2016,Lake Land B Checking,15001,50000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-3851 Boardwalk,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-2851 E Armour Lane,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Residential Real Estate-3100 Elm Rock Place,100001,250000,,
L000554,N00000851,"LoBiondo, Frank",2016,Ocean City Home Bank,16003,66000,,
L000554,N00000851,"LoBiondo, Frank",2016,First Eagle Funds Income Global Fund,16002,65000,,
